Variables are:
month
day
year
eu01
eu03
eu06

12  19  73      10.88      10.49      10.36
12  26  73      10.84      10.81      10.44
01  02  74      10.23      10.50      10.27
01  09  74       9.48       9.37       9.36
01  16  74       9.57       9.57       9.46
01  23  74       9.50       9.49       9.44
01  30  74       9.05       9.09       9.08
02  06  74       8.81       8.79       8.73
02  13  74       8.30       8.33       8.34
02  20  74       8.40       8.36       8.38
02  27  74       8.45       8.48       8.49
03  06  74       8.65       8.66       8.68
03  13  74       8.73       8.79       8.81
03  20  74       9.19       9.30       9.15
03  27  74       9.79       9.81       9.92
04  03  74       9.64       9.84       9.86
04  10  74      10.03      10.10      10.12
04  17  74       9.91      10.44      10.44
04  24  74      10.60      10.64      10.55
05  01  74      11.35      11.45      11.30
05  08  74      11.30      11.53      11.39
05  15  74      11.63      11.74      11.68
05  22  74      11.63      11.79      11.72
05  29  74      11.86      11.83      11.78
06  05  74      11.74      11.86      11.88
06  12  74      11.43      11.63      11.39
06  19  74      11.94      11.90      11.78
06  26  74      12.66      12.69      12.59
07  03  74      13.41      13.41      13.36
07  10  74      13.78      13.80      13.74
07  17  74      13.74      14.01      14.00
07  24  74      12.58      12.86      12.88
07  31  74      13.24      13.31      13.28
08  07  74      13.08      13.60      13.63
08  14  74      12.21      13.19      13.29
08  21  74      12.51      13.51      13.58
08  28  74      12.36      13.91      13.97
09  04  74      12.42      13.73      13.97
09  11  74      11.95      12.98      13.51
09  18  74      11.48      12.18      12.70
09  25  74      11.14      11.60      11.88
10  02  74      11.66      12.04      12.11
10  09  74      11.21      11.64      11.63
10  16  74      10.45      11.04      11.03
10  23  74       9.89      10.65      10.71
10  30  74       9.56      10.21      10.28
11  06  74       9.63      10.00       9.96
11  13  74       9.23       9.89       9.76
11  20  74       9.56      10.00       9.94
11  27  74       9.76      10.29      10.29
12  04  74      10.81      10.81      10.80
12  11  74      10.16      10.21      10.23
12  18  74      10.45      10.19      10.21
12  25  74       9.98       9.97       9.95
01  01  75       9.77      10.23      10.25
01  08  75       9.34       9.73       9.71
01  15  75       8.01       8.66       8.70
01  22  75       7.38       8.09       8.19
01  29  75       7.51       8.01       8.11
02  05  75       6.76       7.25       7.55
02  12  75       6.68       7.10       7.24
02  19  75       6.86       7.49       7.61
02  26  75       6.48       7.34       7.59
03  05  75       6.61       7.35       7.71
03  12  75       6.16       6.81       7.30
03  19  75       5.98       6.60       7.21
03  26  75       6.25       6.84       7.61
04  02  75       6.17       6.98       7.58
04  09  75       6.35       7.44       8.04
04  16  75       5.99       7.01       7.99
04  23  75       5.91       6.79       7.78
04  30  75       6.06       6.93       7.95
05  07  75       5.74       6.69       7.79
05  14  75       5.46       6.50       7.56
05  21  75       5.29       5.99       7.00
05  28  75       5.39       5.98       6.94
06  04  75       5.63       6.01       6.96
06  11  75       5.55       5.85       6.75
06  18  75       5.45       5.77       6.65
06  25  75       5.88       6.29       7.14
07  02  75       6.33       6.84       7.44
07  09  75       6.86       7.36       7.93
07  16  75       6.38       7.11       7.98
07  23  75       6.35       7.16       8.05
07  30  75       6.53       7.06       8.05
08  06  75       6.43       6.98       7.95
08  13  75       6.55       7.24       8.18
08  20  75       6.30       7.16       8.15
08  27  75       6.47       7.50       8.42
09  03  75       6.56       7.23       8.20
09  10  75       6.74       7.19       8.13
09  17  75       6.81       7.44       8.46
09  24  75       6.75       7.50       8.59
10  01  75       6.90       7.73       8.71
10  08  75       6.93       7.95       8.55
10  15  75       6.33       7.25       7.98
10  22  75       6.13       6.71       7.53
10  29  75       6.09       6.64       7.35
11  05  75       6.03       6.76       7.46
11  12  75       5.84       6.64       7.31
11  19  75       5.81       6.76       7.45
11  26  75       5.70       6.85       7.55
12  03  75       6.39       6.93       7.61
12  10  75       6.11       6.60       7.39
12  17  75       6.09       6.56       7.43
12  24  75       5.89       6.35       7.23
12  31  75       5.50       5.90       6.77
01  07  76       5.47       5.70       6.42
01  14  76       5.26       5.43       5.91
01  21  76       5.25       5.51       6.01
01  28  76       5.29       5.48       6.05
02  04  76       5.01       5.29       5.91
02  11  76       5.04       5.48       6.11
02  18  76       5.15       5.55       6.19
02  25  76       5.12       5.58       6.31
03  03  76       5.25       5.66       6.43
03  10  76       5.26       5.64       6.41
03  17  76       5.29       5.58       6.39
03  24  76       5.11       5.53       6.35
03  31  76       5.10       5.43       6.25
04  07  76       5.06       5.44       6.15
04  14  76       5.06       5.36       5.99
04  21  76       5.04       5.31       5.85
04  28  76       5.26       5.39       5.95
05  05  76       5.34       5.50       6.06
05  12  76       5.31       5.63       6.28
05  19  76       5.38       5.98       6.66
05  26  76       5.68       6.35       7.09
06  02  76       5.84       6.58       7.27
06  09  76       5.73       6.35       7.03
06  16  76       5.73       6.19       6.89
06  23  76       5.76       6.14       6.85
06  30  76       5.65       6.04       6.76
07  07  76       5.70       5.95       6.58
07  14  76       5.55       5.76       6.34
07  21  76       5.40       5.75       6.35
07  28  76       5.39       5.76       6.31
08  04  76       5.41       5.70       6.24
08  11  76       5.40       5.79       6.25
08  18  76       5.38       5.68       6.14
08  25  76       5.31       5.63       6.18
09  01  76       5.22       5.53       6.05
09  08  76       5.36       5.54       6.03
09  15  76       5.43       5.58       6.08
09  22  76       5.31       5.45       5.91
09  29  76       5.49       5.58       5.98
10  06  76       5.21       5.60       5.94
10  13  76       5.30       5.46       5.80
10  20  76       5.06       5.35       5.69
10  27  76       5.08       5.49       5.80
11  03  76       5.04       5.36       5.76
11  10  76       4.94       5.31       5.73
11  17  76       5.03       5.41       5.78
11  24  76       4.81       5.20       5.51
12  01  76       4.86       5.18       5.41
12  08  76       4.81       4.95       5.18
12  15  76       4.76       4.95       5.18
12  22  76       4.86       5.01       5.31
12  29  76       4.91       5.09       5.37
01  05  77       4.88       5.03       5.34
01  12  77       4.90       5.04       5.38
01  19  77       4.96       5.23       5.68
01  26  77       4.85       5.18       5.68
02  02  77       4.84       5.24       5.75
02  09  77       4.74       5.06       5.56
02  16  77       4.71       5.01       5.54
02  23  77       4.78       5.06       5.53
03  02  77       4.81       5.15       5.55
03  09  77       4.78       5.09       5.51
03  16  77       4.84       5.10       5.49
03  23  77       4.83       5.09       5.51
03  30  77       5.06       5.24       5.59
04  06  77       5.03       5.18       5.53
04  13  77       4.96       5.27       5.46
04  20  77       4.87       5.09       5.39
04  27  77       4.95       5.14       5.44
05  04  77       5.17       5.34       5.60
05  11  77       5.43       5.66       5.94
05  18  77       5.50       5.80       6.19
05  25  77       5.46       5.98       6.35
06  01  77       5.63       6.00       6.30
06  08  77       5.56       5.88       6.21
06  15  77       5.47       5.68       5.99
06  22  77       5.50       5.80       6.19
06  29  77       5.56       5.80       6.15
07  06  77       5.56       5.76       6.04
07  13  77       5.58       5.77       6.08
07  20  77       5.51       5.75       6.09
07  27  77       5.50       5.78       6.10
08  03  77       5.88       6.11       6.29
08  10  77       5.89       6.18       6.36
08  17  77       6.14       6.46       6.69
08  24  77       6.06       6.36       6.61
08  31  77       6.09       6.30       6.55
09  07  77       6.18       6.26       6.53
09  14  77       6.33       6.49       6.68
09  21  77       6.34       6.59       6.80
09  28  77       6.53       6.78       7.04
10  05  77       6.68       6.98       7.24
10  12  77       6.70       7.19       7.46
10  19  77       6.81       7.30       7.63
10  26  77       6.66       7.05       7.38
11  02  77       6.70       7.14       7.40
11  09  77       6.79       7.23       7.44
11  16  77       6.68       7.09       7.34
11  23  77       6.65       7.01       7.29
11  30  77       6.76       6.98       7.29
12  07  77       6.88       6.99       7.33
12  14  77       6.98       7.11       7.46
12  21  77       7.10       7.00       7.38
12  28  77       6.98       7.33       7.66
